,Название,Дата начала,Дата окончания,Статус,Организатор
0," Закуп товара для ФЭиНИ, согласно заявке № 244/21 от 06.09.2021г.",06.09.2021 12:45,09.09.2021 12:45,ЗАВЕРШЕНО,АО Казахстанско-Британский технический университет
1," Закуп санитарно-противоэпидемиологических, дезинфицирующих средств и оборудования, согласно заявке № /540 от 03.09.2021г.",03.09.2021 14:00,08.09.2021 14:00,ЗАВЕРШЕНО,АО Казахстанско-Британский технический университет
2," Закуп товара для НОЦАЭиН, АО ""КБТУ"", согласно заявке № 240/21 от 01.09.2021г.",02.09.2021 17:00,07.09.2021 17:00,ЗАВЕРШЕНО,АО Казахстанско-Британский технический университет
3," Закуп хоз.товаров и медикаментов для ДМиС, согласно заявке № 234/21 от 31.08.2021г.",01.09.2021 15:10,06.09.2021 15:11,ЗАВЕРШЕНО,АО Казахстанско-Британский технический университет
4," Закуп услуг по изготовлению печати КБТУ _ ДБУОиФ, согласно заявке № 229/21 ОТ 31.08.2021г.",01.09.2021 12:45,06.09.2021 12:45,ЗАВЕРШЕНО,АО Казахстанско-Британский технический университет
5," Услуги по организации кофе-брейков, (кейтеринга), согласно заявке №239/21 от 31.08.2021г.",01.09.2021 09:35,04.09.2021 09:35,ЗАВЕРШЕНО,АО Казахстанско-Британский технический университет
6," Услуги по заправке картриджей и ремонту печатного оборудования, согласно заявке №237/21 от 31.08.2021г.",01.09.2021 09:30,04.09.2021 09:30,ЗАВЕРШЕНО,АО Казахстанско-Британский технический университет
7," Услуги по стирке, выведение пятен,  глажке штор, тюля жилых комнат общежития  в ДМиС, согласно заявке №233/21 от 31.08.2021г.",01.09.2021 09:25,04.09.2021 09:25,ЗАВЕРШЕНО,АО Казахстанско-Британский технический университет
8," Закуп услуг по промывке и гидравлическому испытанию отопительной системы в ДМиС, согласно заявке №233/21 от 31.08.2021г.",01.09.2021 09:25,04.09.2021 09:25,ЗАВЕРШЕНО,АО Казахстанско-Британский технический университет
9," Услуги по проведению периодического медосмотра  в ДМиС, согласно заявке №233/21 от 31.08.2021г.",01.09.2021 09:20,04.09.2021 09:20,ЗАВЕРШЕНО,АО Казахстанско-Британский технический университет
10," Закуп услуг по огнезащитной обработке деревянных конструкций в ДМиС, согласно заявке №233/21 от 31.08.2021г.",01.09.2021 09:15,04.09.2021 09:15,ЗАВЕРШЕНО,АО Казахстанско-Британский технический университет
11," Закуп товара (питьевая вода 0,33 л. в стеклянной таре) для ЭХД, АО ""КБТУ"", согласно заявке № 235/21 от 31.08.2021г.",31.08.2021 17:50,03.09.2021 17:50,ЗАВЕРШЕНО,АО Казахстанско-Британский технический университет
12," Закуп санитарных товаров для защиты от COVID для ДМиС, согласно заявке № 232/21 от 31.08.2021г.",31.08.2021 17:40,03.09.2021 17:40,ЗАВЕРШЕНО,АО Казахстанско-Британский технический университет
13," Закуп транспортно-логистических услуг для перевозке ОС КБТУ из г. Актау в г. Алматы, согласно заявке № 236/21 ОТ 27.08.2021г.",27.08.2021 10:00,02.09.2021 10:00,ЗАВЕРШЕНО,АО Казахстанско-Британский технический университет
14," Закуп услуг услуг по проведению сертификации для НОЦАЭН, согласно заявке № 231/21 от 25.08.2021г.",26.08.2021 09:20,01.09.2021 09:21,ЗАВЕРШЕНО,АО Казахстанско-Британский технический университет
15," Закупка услуг по вывозу снега (с погрузкой) и строительного мусора (ЭХД), согласно заявке №225/21 от 20.08.2021г.",25.08.2021 16:15,31.08.2021 16:16,ЗАВЕРШЕНО,АО Казахстанско-Британский технический университет
16," Закуп услуг аренды манипулятора  для НОЦАЭН, согласно заявке № 231/21 от 25.08.2021г.",25.08.2021 15:40,31.08.2021 15:41,ЗАВЕРШЕНО,АО Казахстанско-Британский технический университет
